lmbda,num_pixels,bits,bpp,psnr,time(enc),time(dec)
0.0067,393216,214531.3333,0.545541667,28.94563444,0.3193750000000001,0.30233333333333334
0.013,393216,335709.3333,0.853541667,30.60880032,0.363625,0.3676666666666666
0.025,393216,465146,1.182625,31.9833335,0.7395833333333334,0.7550000000000001
0.0483,393216,829721,2.109875,33.16449435,0.6924583333333333,0.7034583333333333
