True,num_pixels,bits,bpp,psnr,time(enc),time(dec)
0.0067,393216.0,109899.66666666666,0.2795416666666667,29.87457207606141,1.1378333333333333,753.0708333333332
0.013,393216.0,169755.99999999997,0.431875,31.6164174699698,0.6190416666666666,727.0030833333333
0.025,393216.0,252778.3333333333,0.6430000000000001,32.93350115337028,1.272083333333333,1245.7623333333336
0.0483,393216.0,363390.00000000006,0.9243333333333333,34.83141790582682,1.4210833333333333,1603.4722499999998
